psi,r,ydot,xdot
-9.92e-07,0.0,0.0,30.0
-3.93e-06,0.0,0.0,30.0
-8.77e-06,0.0,0.0,30.0
-1.55e-05,0.0,0.0,30.0
-2.4e-05,0.0,0.0,30.0
-3.42e-05,0.0,0.0,30.0
-4.62e-05,0.0,0.0,30.0
-5.98e-05,0.0,0.0,30.0
-7.51e-05,0.0,0.0,30.0
-9.19e-05,0.0,0.0,30.0
-0.0001102809399,0.0,0.0,30.0
-0.0001301711411,0.0,0.0,30.0
-0.0001515291261,0.0,0.0,30.0
-0.0001743181444,0.0,0.0,30.0
-0.0001985024712,0.0,0.0,30.0
-0.0002240473766,0.0,0.0,30.0
-0.0002509190961,0.0,0.0,30.0
-0.0002790848013,0.0,0.0,30.0
-0.0003085125726,0.0,0.0,30.0
-0.000339171372,0.0,0.0,30.0
-0.0003710310166,0.0,0.0,30.0
-0.0004040621536,0.0,0.0,30.0
-0.0004382362356,0.0,0.0,30.0
-0.0004735254965,0.0,0.0,30.0
-0.000509902929,0.0,0.0,30.0
-0.0005473422615,0.0,0.0,30.0
-0.0005858179369,0.0,0.0,30.0
-0.0006253050915,0.0,0.0,30.0
-0.0006657795343,0.0,0.0,30.0
-0.0007072177278,0.0,0.0,30.0
-0.0007495967683,0.0,0.0,30.0
-0.0007928943676,0.0,0.0,30.0
-0.0008370888352,0.0,0.0,30.0
-0.0008821590604,0.0,0.0,30.0
-0.0009280844958,0.0,0.0,30.0
-0.0009748451408,0.0,0.0,30.0
-0.001022421526,0.0,0.0,30.0
-0.001070794696,0.0,0.0,30.0
-0.001119946198,0.0,0.0,30.0
-0.001169858065,0.0,0.0,30.0
-0.0012205128,0.0,0.0,30.0
-0.001271893367,0.0,0.0,30.0
-0.001323983174,0.0,0.0,30.0
-0.001376766062,0.0,0.0,30.0
-0.001430226291,0.0,0.0,30.0
-0.00148434853,0.0,0.0,30.0
-0.001539117845,0.0,0.0,30.0
-0.001594519685,0.0,0.0,30.0
-0.001650539876,0.0,0.0,30.0
-0.001707164605,0.0,0.0,30.0
-0.001764380414,0.0,0.0,30.0
-0.001822174187,0.0,0.0,30.0
-0.001880533141,0.0,0.0,30.0
-0.001939444819,0.0,0.0,30.0
-0.001998897078,0.0,0.0,30.0
