,Unnamed: 0,fzf,Unnamed: 0.6,fzr,Unnamed: 0.7,steer_angle,Unnamed: 0.1,vx,Unnamed: 0.2,vy,Unnamed: 0.3,r,Unnamed: 0.4,psi,Unnamed: 0.5,wheel_angle,sideslip_f,sideslip_r,fyft,fyrt,fyf,fyr,beta
0,fzf1,5291.97599698873,fzr1,4568.70794412851,ans1,0.0,xdot1,28.0,ydot1,0.0,r1,0.0,psi1,0.0,wheel_angle1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
1,fzf2,5291.97599698891,fzr2,4568.70794412832,ans2,0.0003315190511499,xdot2,28.0,ydot2,1.45358743053743e-06,r2,1.08819115061373e-06,psi2,3.630157526943729e-09,wheel_angle2,2.45569667517986e-05,-2.445064335746332e-05,1.1409618826816178e-07,0.2173789258345021,0.0008027591290726871,0.21737892576952386,0.0008027591290726819,5.191383680490817e-08
2,fzf3,5291.97599699146,fzr3,4568.70794412578,ans3,0.0006630324092188,xdot3,28.0,ydot3,5.39445540651012e-06,r3,4.33914587304289e-06,psi3,2.89729974849276e-08,wheel_angle3,4.91135117940411e-05,-4.870389537874584e-05,4.4061031438402954e-07,0.4330029401112345,0.0031000505591287125,0.433002939597678,0.0031000505591284116,1.9265912166107332e-07
3,fzf4,5291.97599700145,fzr4,4568.70794411579,ans4,0.0009945343812235,xdot4,28.0,ydot4,1.12007985855802e-05,r4,9.7326876808167e-06,psi4,9.75549951816648e-08,wheel_angle4,7.36692134238881e-05,-7.278255051911586e-05,9.561821024460693e-07,0.647074697384147,0.00672751582189871,0.6470746956702728,0.006727515821895635,4.000285209135572e-07
4,fzf5,5291.9759970255,fzr5,4568.70794409175,ans5,0.0013260192743762,xdot5,28.0,ydot5,1.82613827076945e-05,r5,1.72489705793706e-05,psi5,2.30702518662646e-07,wheel_angle5,9.82236499538214e-05,-9.670900918620044e-05,1.6378477000906436e-06,0.8597933489199453,0.011523585609869448,0.8597933448992797,0.011523585609853991,6.521922395604255e-07
5,fzf6,5291.9759970702,fzr6,4568.70794404708,ans6,0.0016574813961826,xdot6,28.0,ydot6,2.59753675550421e-05,r6,2.68684729269024e-05,psi6,4.49545102861787e-07,wheel_angle6,0.0001227763997171,-0.00012050528437542186,2.4630330045982092e-06,1.07135460169055,0.017329432820019298,1.0713545939116995,0.017329432819966732,9.276916983940946e-07
6,fzf7,5291.9759971407,fzr7,4568.70794397661,ans7,0.0019889150545393,xdot7,28.0,ydot7,3.37521330575334e-05,r7,3.85719914041004e-05,psi7,7.75018662887783e-07,wheel_angle7,0.000147327041077,-0.00014419300819135626,3.4095471076451444e-06,1.281950776351005,0.023988926432333697,1.281950763024086,0.023988926432194264,1.2054333234827518e-06
7,fzf8,5291.97599723929,fzr8,4568.70794387806,ans8,0.0023203145578317,xdot8,28.0,ydot8,4.10111084819329e-05,r8,5.23406350908824e-05,psi8,1.22786864754436e-06,wheel_angle8,0.0001718751524319,-0.000167793438249344,4.455575856432365e-06,1.491770864152433,0.03134858620714411,1.4917708431522987,0.031348586206832944,1.4646824457822706e-06
8,fzf9,5291.97599736406,fzr9,4568.70794375332,ans9,0.0026516742150318,xdot9,28.0,ydot9,4.7181604644889e-05,r9,6.81558196482167e-05,psi9,1.82865313414482e-06,wheel_angle9,0.0001964203122245,-0.00019132746396786362,5.579675528961995e-06,1.7010005828835122,0.039257538185611396,1.7010005517499298,0.039257538185000294,1.6850573087444409e-06
9,fzf10,5291.97599750768,fzr10,4568.70794360973,ans10,0.0029829883357959,xdot10,28.0,ydot10,5.17026490914765e-05,r10,8.59992616031773e-05,psi10,2.59774586566264e-06,wheel_angle10,0.0002209620989477,-0.00021481561274638687,6.760766621262548e-06,1.9098224317935575,0.04756747097787872,1.909822387728466,0.04756747097679162,1.8465231818363476e-06
10,fzf11,5291.97599765611,fzr11,4568.70794346132,ans11,0.003314251230562,xdot11,28.0,ydot11,5.4022824182141e-05,r11,0.0001058529727354,psi11,3.55533923124102e-06,wheel_angle11,0.0002455000911527,-0.00023827805603643683,7.978127744391117e-06,2.1184157455658084,0.05613259282361321,2.118415685427765,0.056132592821826775,1.929386577931213e-06
11,fzf12,5291.97599778749,fzr12,4568.70794332993,ans12,0.0036454572106482,xdot12,28.0,ydot12,5.3600108032164e-05,r12,0.0001276992545632,psi12,4.72144719106686e-06,wheel_angle12,0.0002700338674554,-0.00026173461530404937,9.211389629077708e-06,2.3269567473250077,0.06480958940991036,2.326956667620912,0.06480958940716082,1.9142895725749477e-06
12,fzf13,5291.97599787105,fzr13,4568.70794324634,ans13,0.0039766005883497,xdot13,28.0,ydot13,4.99017182489986e-05,r13,0.0001515206929275,psi13,6.11590814659648e-06,wheel_angle13,0.0002945630065444,-0.00028520476788902564,1.0440529235906725e-05,2.5356186007271404,0.07345758243174534,2.535618497601302,0.07345758242774174,1.7822042231766346e-06
13,fzf14,5291.97599786599,fzr14,4568.70794325136,ans14,0.0043076756770368,xdot14,28.0,ydot14,4.24039584139073e-05,r14,0.0001773001526722,psi14,7.75838775710339e-06,wheel_angle14,0.0003190870871879,-0.00030870765276030303,1.1645863968993513e-05,2.7445714611253216,0.08193808888059483,2.744571330345923,0.08193808887503835,1.5144270862098173e-06
14,fzf15,5291.97599772053,fzr15,4568.70794339676,ans15,0.0046386767912526,xdot15,28.0,ydot15,3.05920672556627e-05,r15,0.0002050207724183,psi15,9.66838170350104e-06,wheel_angle15,0.0003436056882408,-0.00033226207617078555,1.280804599108661e-05,2.9539825258416275,0.09011498104665737,2.9539823627846187,0.09011498103926587,1.0925738305589476e-06
15,fzf16,5291.97599737094,fzr16,4568.70794374631,ans16,0.0049695982468105,xdot16,28.0,ydot16,1.39600704650011e-05,r16,0.0002346659594317,psi16,1.18652184003769e-05,wheel_angle16,0.0003681183886525,-0.00035588651721400684,1.3908056638212845e-05,3.164016083565899,0.097854447221418,3.164015883196335,0.09785444721195383,4.985739451785694e-07
16,fzf17,5291.97599674059,fzr17,4568.70794437665,ans17,0.0053004343608918,xdot17,28.0,ydot17,-7.98936489609558e-06,r17,0.0002662193845817,psi17,1.43680616571577e-05,wheel_angle17,0.0003926247674734,-0.0003795991332824423,1.4927200932016058e-05,3.3748335628798833,0.10502495308752875,3.374833319730718,0.10502495307582785,-2.853344605748344e-07
17,fzf18,5291.97599573914,fzr18,4568.70794537817,ans18,0.0056311794521434,xdot18,28.0,ydot18,-3.57450730886541e-05,r18,0.000299664977389,psi18,1.71959132893099e-05,wheel_angle18,0.0004171244038624,-0.0004034177654190738,1.5847102200464396e-05,3.586593579832136,0.1114972038711016,3.5865932879804516,0.1114972038571014,-1.2766097531655243e-06
18,fzf19,5291.97599426168,fzr19,4568.70794685587,ans19,0.0059618278407752,xdot19,28.0,ydot19,-6.97875297000297e-05,r19,0.0003349869211617,psi19,2.03676156804615e-05,wheel_angle19,0.0004416168770944,-0.00042735994356862524,1.6649696799482764e-05,3.79945198462064,0.117144107204028,3.7994516376612983,0.1171441071877911,-2.4924117749959e-06
19,fzf20,5291.97599218791,fzr20,4568.70794893011,ans20,0.006292373848658,xdot20,28.0,ydot20,-0.000110588989784,r20,0.0003721696482177,psi20,2.3901854296316e-05,wheel_angle20,0.0004661017665672,-0.00045144289175749866,1.7317228905854585e-05,4.013561907641274,0.12184073648765498,4.013561498657949,0.12184073646938579,-3.949606777979463e-06
20,fzf21,5291.97598938147,fzr21,4568.70795173739,ans21,0.0066228117994206,xdot21,28.0,ydot21,-0.0001586136233371,r21,0.000411197835192,psi21,2.78171601512172e-05,wheel_angle21,0.0004905786518089,-0.00047568353317496736,1.783224540990959e-05,4.229073804658199,0.12546429495844322,4.2290733261917435,0.1254642949384951,-5.664772261978693e-06
21,fzf22,5291.97598568915,fzr22,4568.70795543106,ans22,0.0069531360185472,xdot22,28.0,ydot22,-0.0002143176483448,r22,0.0004520563984272,psi22,3.21319122282031e-05,wheel_angle22,0.0005150471124849,-0.0005000984951631072,1.8177590899586367e-05,4.446135501162507,0.12789408039640768,4.446134945176598,0.127894080375278,-7.654201726450522e-06
